dt,base_byers_price_index,key_rate,dollar_rate
2018-03-21,,7.5,57.7033
2018-03-22,,7.5,57.4954
2018-03-23,,7.5,56.8391
2018-03-24,,,57.1072
2018-03-26,,7.25,
2018-03-27,,7.25,57.0039
2018-03-28,,7.25,57.1747
2018-03-29,,7.25,57.5598
2018-03-30,,7.25,57.7626
2018-03-31,,,57.2649
2018-04-02,,7.25,
2018-04-03,,7.25,57.285
2018-04-04,,7.25,57.5375
2018-04-05,,7.25,57.7646
2018-04-06,,7.25,57.5796
2018-04-07,,,57.8332
2018-04-09,,7.25,
2018-04-10,,7.25,58.5714
2018-04-11,,7.25,62.3699
2018-04-12,,7.25,64.0626
2018-04-13,,7.25,62.0659
2018-04-14,,,61.4311
2018-04-16,,7.25,
2018-04-17,,7.25,62.2794
2018-04-18,,7.25,61.1454
2018-04-19,,7.25,61.5539
2018-04-20,,7.25,60.8583
2018-04-21,,,61.3222
2018-04-23,,7.25,
2018-04-24,,7.25,61.7655
2018-04-25,,7.25,61.6644
2018-04-26,,7.25,61.7494
2018-04-27,,7.25,62.6027
2018-04-28,,7.25,62.726
2018-04-29,,,61.9997
2018-04-30,,,
2018-05-03,,7.25,
2018-05-04,,7.25,63.486
2018-05-05,,,63.2012
2018-05-07,,7.25,
2018-05-08,,7.25,62.7148
2018-05-09,,,63.0066
2018-05-10,,7.25,
2018-05-11,,7.25,62.5229
2018-05-12,,,61.7354
2018-05-14,,7.25,
2018-05-15,,7.25,61.7684
2018-05-16,,7.25,61.9164
2018-05-17,,7.25,62.3033
